Year,Player,team,teamId,Season,games,Champion,key,Win,lose,kills,assists,deaths,killsC,assistsC,deathsC,killsJ,assistsJ,deathsJ,kda,kdaC,ban,Avg BT,wR,Presence
2021,Odoamne,RGE,Blue,Spring,9,Kennen,85,6.0,3.0,0.0,3.0,1.0,23.0,46.0,18.0,34.0,132.0,23.0,7.217391304347826,3.8333333333333335,0.0,,0.6666666666666666,9.183673469387756
2021,Razork,MSF,Blue,Summer,9,Trundle,48,6.0,3.0,3.0,8.0,3.0,25.0,72.0,20.0,58.0,147.0,53.0,3.8679245283018866,4.85,0.0,3.0,0.6666666666666666,9.183673469387756
2021,Odoamne,RGE,Blue,Spring,9,Kennen,85,6.0,3.0,1.0,10.0,0.0,23.0,46.0,18.0,34.0,132.0,23.0,7.217391304347826,3.8333333333333335,0.0,3.0,0.6666666666666666,9.183673469387756
2021,Odoamne,RGE,Blue,Summer,9,Kennen,85,6.0,3.0,0.0,4.0,1.0,23.0,46.0,18.0,51.0,104.0,39.0,3.9743589743589745,3.8333333333333335,0.0,3.0,0.6666666666666666,9.183673469387756
2021,Zanzarah,AST,Blue,Spring,8,Skarner,72,5.0,3.0,1.0,7.0,0.0,19.0,61.0,17.0,36.0,112.0,61.0,2.4262295081967213,4.705882352941177,0.0,,0.625,8.16326530612245
2021,Zanzarah,AST,Blue,Spring,8,Skarner,72,5.0,3.0,5.0,13.0,1.0,19.0,61.0,17.0,36.0,112.0,61.0,2.4262295081967213,4.705882352941177,0.0,3.0,0.625,8.16326530612245
2021,Zanzarah,AST,Blue,Spring,8,Skarner,72,5.0,3.0,1.0,5.0,5.0,19.0,61.0,17.0,36.0,112.0,61.0,2.4262295081967213,4.705882352941177,0.0,3.0,0.625,8.16326530612245
2021,Gilius,S04,Red,Spring,8,Skarner,72,5.0,3.0,2.0,5.0,5.0,19.0,61.0,17.0,25.0,118.0,54.0,2.6481481481481484,4.705882352941177,0.0,5.0,0.625,8.16326530612245
2021,Armut,MAD,Red,Summer,8,MonkeyKing,62,6.0,2.0,10.0,9.0,1.0,35.0,43.0,24.0,51.0,106.0,55.0,2.8545454545454545,3.25,0.0,3.0,0.75,8.16326530612245
2021,Zanzarah,AST,Red,Spring,8,Skarner,72,5.0,3.0,1.0,6.0,3.0,19.0,61.0,17.0,36.0,112.0,61.0,2.4262295081967213,4.705882352941177,0.0,,0.625,8.16326530612245
2021,Crownshot,VIT,Blue,Summer,8,Jinx,222,1.0,7.0,9.0,4.0,1.0,24.0,21.0,14.0,72.0,81.0,24.0,6.375,3.2142857142857144,0.0,4.0,0.125,8.16326530612245
2021,Armut,MAD,Red,Summer,8,MonkeyKing,62,6.0,2.0,3.0,8.0,3.0,35.0,43.0,24.0,51.0,106.0,55.0,2.8545454545454545,3.25,0.0,4.0,0.75,8.16326530612245
2021,Crownshot,VIT,Red,Summer,8,Jinx,222,1.0,7.0,1.0,1.0,2.0,24.0,21.0,14.0,72.0,81.0,24.0,6.375,3.2142857142857144,0.0,,0.125,8.16326530612245
2021,Crownshot,VIT,Blue,Summer,8,Jinx,222,1.0,7.0,3.0,6.0,1.0,24.0,21.0,14.0,72.0,81.0,24.0,6.375,3.2142857142857144,0.0,,0.125,8.16326530612245
2021,Jeskla,AST,Red,Summer,8,Jinx,222,1.0,7.0,2.0,2.0,3.0,24.0,21.0,14.0,36.0,98.0,47.0,2.851063829787234,3.2142857142857144,0.0,,0.125,8.16326530612245
